,Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Sex,Deaths,admissions,Age Group,Addicts(Age Group),Therapy_Cost,Real_Households_Income,Household_Expenditure_Tobacco
39,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.6953031349635665,21715.0,16 and Over,19,38145,190.0,19411.0
40,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.6953031349635665,14000.0,16 and Over,19,38145,190.0,19411.0
41,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.6953031349635665,15583.0,16 and Over,19,38145,190.0,19411.0
42,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.6953031349635665,11100.0,16 and Over,19,38145,190.0,19411.0
43,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.6953031349635665,6132.0,16 and Over,19,38145,190.0,19411.0
44,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.6953031349635665,2900.0,16 and Over,19,38145,190.0,19411.0
45,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.483107351457199,4625.0,16 and Over,19,38145,190.0,19411.0
46,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.483107351457199,3700.0,16 and Over,19,38145,190.0,19411.0
47,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.483107351457199,3886.0,16 and Over,19,38145,190.0,19411.0
48,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.483107351457199,3100.0,16 and Over,19,38145,190.0,19411.0
49,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.483107351457199,739.0,16 and Over,19,38145,190.0,19411.0
50,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.483107351457199,500.0,16 and Over,19,38145,190.0,19411.0
57,2014,C53,Cervical,Cancers which can be caused by smoking,Any,6.493753839851686,6559.0,16 and Over,19,38145,190.0,19411.0
58,2014,C53,Cervical,Cancers which can be caused by smoking,Any,6.493753839851686,700.0,16 and Over,19,38145,190.0,19411.0
59,2014,C53,Cervical,Cancers which can be caused by smoking,Any,6.493753839851686,400.0,16 and Over,19,38145,190.0,19411.0
60,2014,C53,Cervical,Cancers which can be caused by smoking,Any,6.493753839851686,400.0,16 and Over,19,38145,190.0,19411.0
61,2014,C53,Cervical,Cancers which can be caused by smoking,Any,6.493753839851686,6559.0,16 and Over,19,38145,190.0,19411.0
62,2014,C53,Cervical,Cancers which can be caused by smoking,Any,6.493753839851686,700.0,16 and Over,19,38145,190.0,19411.0
66,2014,C67,Bladder,Cancers which can be caused by smoking,Any,8.411388132519262,22100.0,16 and Over,19,38145,190.0,19411.0
67,2014,C67,Bladder,Cancers which can be caused by smoking,Any,8.411388132519262,16148.0,16 and Over,19,38145,190.0,19411.0
68,2014,C67,Bladder,Cancers which can be caused by smoking,Any,8.411388132519262,4600.0,16 and Over,19,38145,190.0,19411.0
69,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.177515823846075,15426.0,16 and Over,19,38145,190.0,19411.0
70,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.177515823846075,3700.0,16 and Over,19,38145,190.0,19411.0
71,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.177515823846075,10123.0,16 and Over,19,38145,190.0,19411.0
72,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.177515823846075,3300.0,16 and Over,19,38145,190.0,19411.0
73,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.177515823846075,5303.0,16 and Over,19,38145,190.0,19411.0
74,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,8.177515823846075,400.0,16 and Over,19,38145,190.0,19411.0
75,2014,C16,Stomach,Cancers which can be caused by smoking,Any,8.188411308079031,19125.0,16 and Over,19,38145,190.0,19411.0
76,2014,C16,Stomach,Cancers which can be caused by smoking,Any,8.188411308079031,3900.0,16 and Over,19,38145,190.0,19411.0
77,2014,C16,Stomach,Cancers which can be caused by smoking,Any,8.188411308079031,13745.0,16 and Over,19,38145,190.0,19411.0
78,2014,C16,Stomach,Cancers which can be caused by smoking,Any,8.188411308079031,3300.0,16 and Over,19,38145,190.0,19411.0
